period,organization_id,branch_id,brand_id,salesperson_master_id,metric_name,actual_value,previous_value,rolling_mean_3,pct_change,z_score_3,rule_based_anomaly,is_anomaly_label,iforest_anomaly_flag,anomaly_score,explanation
45992,903438347,ALL,ALL,ALL,sales_aed,1064703.81,350551.59,721736.1533333333,2.0372243069843154,0.9798567413235648,1,0,1,-0.007764617167351551,sales_aed was flagged because actual value is higher than usual compared with the recent 3-period average; percentage change is large (203.72%); the rule-based check also flagged this row.
45839,903438347,ALL,ALL,ALL,sales_aed,1022391.62,878099.43,564371.01,0.1643232930922184,1.65164973695919,0,0,1,-0.0053268488144443404,sales_aed was flagged because actual value is higher than usual compared with the recent 3-period average.
46023,903438347,ALL,ALL,ALL,sales_aed,378008.29,1064703.81,820357.6433333334,-0.6449638984573559,-1.086924090267965,1,0,1,-0.004554748341240367,sales_aed was flagged because actual value is lower than usual compared with the recent 3-period average; percentage change is large (-64.50%); the rule-based check also flagged this row.
